customerID,Churn,Contract,PaperlessBilling,PaymentMethod,Charges.Monthly,Charges.Total,Cuentas_Diarias
0002-orfbo,False,one year,True,mailed check,65.6,593.3,2.1866666666666665
0003-mknfe,False,month-to-month,False,mailed check,59.9,542.4,1.9966666666666664
0004-tlhlj,True,month-to-month,True,electronic check,73.9,280.85,2.4633333333333334
0011-igkff,True,month-to-month,True,electronic check,98.0,1237.85,3.2666666666666666
0013-exchz,True,month-to-month,True,mailed check,83.9,267.4,2.796666666666667
0013-mhzwf,False,month-to-month,True,credit card (automatic),69.4,571.45,2.313333333333333
0013-smeoe,False,two year,True,bank transfer (automatic),109.7,7904.25,3.6566666666666663
0014-bmaqu,False,two year,True,credit card (automatic),84.65,5377.8,2.8216666666666668
0015-uocoj,False,month-to-month,True,electronic check,48.2,340.35,1.606666666666667
0016-qljis,False,two year,True,mailed check,90.45,5957.9,3.015
0017-dinoc,False,two year,False,credit card (automatic),45.2,2460.55,1.5066666666666668
0017-iudmw,False,two year,True,credit card (automatic),116.8,8456.75,3.893333333333333
0018-nyrou,False,month-to-month,True,electronic check,68.95,351.5,2.2983333333333333
0019-efaep,False,two year,True,bank transfer (automatic),101.3,7261.25,3.3766666666666665
0019-gfntw,False,two year,False,bank transfer (automatic),45.05,2560.1,1.5016666666666665
0020-inwck,False,two year,True,credit card (automatic),95.75,6849.4,3.191666666666667
0020-jdnxp,False,one year,False,mailed check,61.25,1993.2,2.0416666666666665
0021-ikxgc,False,month-to-month,True,electronic check,72.1,72.1,2.4033333333333333
0022-tcjci,True,one year,False,credit card (automatic),62.7,2791.5,2.0900000000000003
0023-hghwl,True,month-to-month,True,electronic check,25.1,25.1,0.8366666666666667
0023-uyupn,False,one year,False,electronic check,25.2,1306.3,0.84
0023-xuopt,True,month-to-month,False,electronic check,94.1,1215.6,3.1366666666666663
0027-kwykw,False,month-to-month,True,electronic check,83.75,1849.95,2.7916666666666665
0030-fnxpp,False,month-to-month,False,mailed check,19.85,57.2,0.6616666666666667
0031-pvlzi,True,month-to-month,False,mailed check,20.35,76.35,0.6783333333333333
0032-pgels,True,month-to-month,False,bank transfer (automatic),30.5,30.5,1.0166666666666666
0036-ihmot,False,one year,True,bank transfer (automatic),103.7,5656.75,3.4566666666666666
0040-halcw,False,two year,False,credit card (automatic),20.4,1090.6,0.6799999999999999
0042-jvwoj,False,one year,True,bank transfer (automatic),19.6,471.85,0.6533333333333334
0042-rlhyp,False,two year,False,bank transfer (automatic),19.7,1396.9,0.6566666666666666
0047-zhdtw,False,month-to-month,True,bank transfer (automatic),79.0,929.3,2.6333333333333333
0048-lumls,False,one year,False,credit card (automatic),91.2,3247.55,3.04
0048-pihnl,False,one year,False,bank transfer (automatic),20.45,900.9,0.6816666666666666
0052-dckon,False,one year,False,bank transfer (automatic),115.8,7942.15,3.86
0052-ynyot,False,one year,False,electronic check,20.55,1343.4,0.685
0056-epfbg,False,two year,True,credit card (automatic),39.4,825.4,1.3133333333333332
0057-qbuqh,False,two year,True,electronic check,25.1,1070.15,0.8366666666666667
0058-evzwm,False,month-to-month,True,bank transfer (automatic),89.8,4959.6,2.993333333333333
